Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter,Batting Style,Playing Role
18,-,23,1,0,78.26,8,1,1,v Nepal,Amstelveen,2018-08-01,ODI # 4026,Scott Edwards,Right hand Bat,Wicketkeeper Batter
9,-,11,1,0,81.81,8,1,2,v Nepal,Amstelveen,2018-08-03,ODI # 4028,Scott Edwards,Right hand Bat,Wicketkeeper Batter
44,82,47,3,0,93.61,7,0,2,v Zimbabwe,Deventer,2019-06-21,ODI # 4167,Scott Edwards,Right hand Bat,Wicketkeeper Batter
4,-,11,0,0,36.36,5,1,1,v Scotland,Rotterdam,2021-05-19,ODI # 4288,Scott Edwards,Right hand Bat,Wicketkeeper Batter
56,110,67,3,1,83.58,5,1,1,v Scotland,Rotterdam,2021-05-20,ODI # 4289,Scott Edwards,Right hand Bat,Wicketkeeper Batter
1,9,11,0,0,9.09,6,1,1,v Ireland,Utrecht,2021-06-02,ODI # 4293,Scott Edwards,Right hand Bat,Wicketkeeper Batter
23,36,24,3,0,95.83,6,1,1,v Ireland,Utrecht,2021-06-04,ODI # 4294,Scott Edwards,Right hand Bat,Wicketkeeper Batter
0,9,7,0,0,0.00,3,1,2,v Ireland,Utrecht,2021-06-07,ODI # 4295,Scott Edwards,Right hand Bat,Wicketkeeper Batter
68,111,82,8,0,82.92,1,1,2,v Afghanistan,Doha,2022-01-21,ODI # 4345,Scott Edwards,Right hand Bat,Wicketkeeper Batter
86,-,120,9,0,71.66,1,1,2,v Afghanistan,Doha,2022-01-23,ODI # 4348,Scott Edwards,Right hand Bat,Wicketkeeper Batter
54,92,74,5,1,72.97,1,1,2,v Afghanistan,Doha,2022-01-25,ODI # 4350,Scott Edwards,Right hand Bat,Wicketkeeper Batter
1,6,7,0,0,14.28,5,1,1,v New Zealand,Mount Maunganui,2022-03-29,ODI # 4378,Scott Edwards,Right hand Bat,Wicketkeeper Batter
6,14,8,0,0,75.00,5,1,2,v New Zealand,Hamilton,2022-04-02,ODI # 4381,Scott Edwards,Right hand Bat,Wicketkeeper Batter
9,10,9,1,0,100.00,5,1,2,v New Zealand,Hamilton,2022-04-04,ODI # 4383,Scott Edwards,Right hand Bat,Wicketkeeper Batter
13,-,19,1,0,68.42,5,1,1,v West Indies,Amstelveen,2022-05-31,ODI # 4392,Scott Edwards,Right hand Bat,Wicketkeeper Batter
68,131,89,1,0,76.40,3,1,1,v West Indies,Amstelveen,2022-06-02,ODI # 4395,Scott Edwards,Right hand Bat,Wicketkeeper Batter
18,29,19,1,0,94.73,5,1,2,v West Indies,Amstelveen,2022-06-04,ODI # 4398,Scott Edwards,Right hand Bat,Wicketkeeper Batter
72,86,56,5,1,128.57,6,0,2,v England,Amstelveen,2022-06-17,ODI # 4413,Scott Edwards,Right hand Bat,Wicketkeeper Batter
78,104,73,4,3,106.84,5,1,1,v England,Amstelveen,2022-06-19,ODI # 4414,Scott Edwards,Right hand Bat,Wicketkeeper Batter
64,102,72,2,0,88.88,5,1,1,v England,Amstelveen,2022-06-22,ODI # 4417,Scott Edwards,Right hand Bat,Wicketkeeper Batter
71,109,60,6,1,118.33,6,0,2,v Pakistan,Rotterdam,2022-08-16,ODI # 4448,Scott Edwards,Right hand Bat,Wicketkeeper Batter
5,-,9,0,0,55.55,6,1,1,v Pakistan,Rotterdam,2022-08-18,ODI # 4452,Scott Edwards,Right hand Bat,Wicketkeeper Batter
6,10,6,1,0,100.00,6,1,2,v Pakistan,Rotterdam,2022-08-21,ODI # 4455,Scott Edwards,Right hand Bat,Wicketkeeper Batter
7,11,11,1,0,63.63,6,1,2,v Zimbabwe,Harare,2023-03-21,ODI # 4543,Scott Edwards,Right hand Bat,Wicketkeeper Batter
36,43,28,2,1,128.57,5,1,2,v Zimbabwe,Harare,2023-03-23,ODI # 4546,Scott Edwards,Right hand Bat,Wicketkeeper Batter
34,57,41,4,0,82.92,6,1,1,v Zimbabwe,Harare,2023-03-25,ODI # 4549,Scott Edwards,Right hand Bat,Wicketkeeper Batter
5,16,10,0,0,50.00,5,1,1,v South Africa,Benoni,2023-03-31,ODI # 4558,Scott Edwards,Right hand Bat,Wicketkeeper Batter
42,41,33,4,1,127.27,6,1,2,v South Africa,Johannesburg,2023-04-02,ODI # 4563,Scott Edwards,Right hand Bat,Wicketkeeper Batter
83,114,72,8,0,115.27,4,1,1,v Zimbabwe,Harare,2023-06-20,ODI # 4589,Scott Edwards,Right hand Bat,Wicketkeeper Batter
67,88,60,6,0,111.66,6,0,2,v U.S.A.,Harare,2023-06-22,ODI # 4594,Scott Edwards,Right hand Bat,Wicketkeeper Batter
67,76,47,6,1,142.55,6,1,2,v West Indies,Harare,2023-06-26,ODI # 4602,Scott Edwards,Right hand Bat,Wicketkeeper Batter
67,110,68,4,2,98.52,6,0,2,v Sri Lanka,Bulawayo,2023-06-30,ODI # 4606,Scott Edwards,Right hand Bat,Wicketkeeper Batter
4,15,7,0,0,57.14,4,1,1,v Oman,Harare,2023-07-03,ODI # 4611,Scott Edwards,Right hand Bat,Wicketkeeper Batter
25,33,23,3,0,108.69,6,1,2,v Scotland,Bulawayo,2023-07-06,ODI # 4616,Scott Edwards,Right hand Bat,Wicketkeeper Batter
1,11,3,0,0,33.33,6,1,2,v Sri Lanka,Harare,2023-07-09,ODI # 4620,Scott Edwards,Right hand Bat,Wicketkeeper Batter
86,152,119,10,0,72.26,2,0,2,v Zimbabwe,Deventer,2019-06-19,ODI # 4164,Max O'Dowd,Right hand Bat,Opening Batter
59,123,81,3,1,72.83,2,1,2,v Zimbabwe,Deventer,2019-06-21,ODI # 4167,Max O'Dowd,Right hand Bat,Opening Batter
82,-,102,5,1,80.39,2,1,1,v Scotland,Rotterdam,2021-05-19,ODI # 4288,Max O'Dowd,Right hand Bat,Opening Batter
8,28,14,0,0,57.14,2,1,1,v Scotland,Rotterdam,2021-05-20,ODI # 4289,Max O'Dowd,Right hand Bat,Opening Batter
23,44,25,4,0,92.0,2,1,1,v Ireland,Utrecht,2021-06-02,ODI # 4293,Max O'Dowd,Right hand Bat,Opening Batter
36,71,59,5,0,61.01,2,1,1,v Ireland,Utrecht,2021-06-04,ODI # 4294,Max O'Dowd,Right hand Bat,Opening Batter
36,56,49,5,0,73.46,2,1,2,v Ireland,Utrecht,2021-06-07,ODI # 4295,Max O'Dowd,Right hand Bat,Opening Batter
9,-,9,2,0,100.0,1,0,2,v South Africa,Centurion,2021-11-26,ODI # 4337,Max O'Dowd,Right hand Bat,Opening Batter
4,10,9,0,0,44.44,2,1,1,v New Zealand,Mount Maunganui,2022-03-29,ODI # 4378,Max O'Dowd,Right hand Bat,Opening Batter
0,7,1,0,0,0.0,2,1,2,v New Zealand,Hamilton,2022-04-02,ODI # 4381,Max O'Dowd,Right hand Bat,Opening Batter
16,52,33,2,0,48.48,2,1,2,v New Zealand,Hamilton,2022-04-04,ODI # 4383,Max O'Dowd,Right hand Bat,Opening Batter
39,-,69,1,0,56.52,2,1,1,v West Indies,Amstelveen,2022-05-31,ODI # 4392,Max O'Dowd,Right hand Bat,Opening Batter
51,117,78,3,1,65.38,2,1,1,v West Indies,Amstelveen,2022-06-02,ODI # 4395,Max O'Dowd,Right hand Bat,Opening Batter
89,182,121,8,0,73.55,2,1,2,v West Indies,Amstelveen,2022-06-04,ODI # 4398,Max O'Dowd,Right hand Bat,Opening Batter
55,71,55,6,2,100.0,2,1,2,v England,Amstelveen,2022-06-17,ODI # 4413,Max O'Dowd,Right hand Bat,Opening Batter
7,37,14,0,0,50.0,2,1,1,v England,Amstelveen,2022-06-19,ODI # 4414,Max O'Dowd,Right hand Bat,Opening Batter
50,101,69,6,0,72.46,2,1,1,v England,Amstelveen,2022-06-22,ODI # 4417,Max O'Dowd,Right hand Bat,Opening Batter
1,9,4,0,0,25.0,2,1,2,v Pakistan,Rotterdam,2022-08-16,ODI # 4448,Max O'Dowd,Right hand Bat,Opening Batter
1,-,8,0,0,12.5,2,1,1,v Pakistan,Rotterdam,2022-08-18,ODI # 4452,Max O'Dowd,Right hand Bat,Opening Batter
3,18,11,0,0,27.27,2,1,2,v Pakistan,Rotterdam,2022-08-21,ODI # 4455,Max O'Dowd,Right hand Bat,Opening Batter
20,66,45,1,0,44.44,2,1,2,v Zimbabwe,Harare,2023-03-21,ODI # 4543,Max O'Dowd,Right hand Bat,Opening Batter
81,151,103,6,2,78.64,2,1,2,v Zimbabwe,Harare,2023-03-23,ODI # 4546,Max O'Dowd,Right hand Bat,Opening Batter
38,58,43,6,0,88.37,2,1,1,v Zimbabwe,Harare,2023-03-25,ODI # 4549,Max O'Dowd,Right hand Bat,Opening Batter
18,45,27,2,0,66.66,2,1,1,v South Africa,Benoni,2023-03-31,ODI # 4558,Max O'Dowd,Right hand Bat,Opening Batter
47,88,49,8,0,95.91,2,1,2,v South Africa,Johannesburg,2023-04-02,ODI # 4563,Max O'Dowd,Right hand Bat,Opening Batter
59,85,67,10,0,88.05,2,1,1,v Zimbabwe,Harare,2023-06-20,ODI # 4589,Max O'Dowd,Right hand Bat,Opening Batter
26,59,28,3,0,92.85,2,1,2,v U.S.A.,Harare,2023-06-22,ODI # 4594,Max O'Dowd,Right hand Bat,Opening Batter
90,105,75,8,4,120.0,1,1,2,v Nepal,Harare,2023-06-24,ODI # 4598,Max O'Dowd,Right hand Bat,Opening Batter
36,47,36,5,1,100.0,2,1,2,v West Indies,Harare,2023-06-26,ODI # 4602,Max O'Dowd,Right hand Bat,Opening Batter
0,7,1,0,0,0.0,2,1,2,v Sri Lanka,Bulawayo,2023-06-30,ODI # 4606,Max O'Dowd,Right hand Bat,Opening Batter
35,91,64,1,1,54.68,2,1,1,v Oman,Harare,2023-07-03,ODI # 4611,Max O'Dowd,Right hand Bat,Opening Batter
20,54,34,3,0,58.82,2,1,2,v Scotland,Bulawayo,2023-07-06,ODI # 4616,Max O'Dowd,Right hand Bat,Opening Batter
33,98,63,1,1,52.38,2,1,2,v Sri Lanka,Harare,2023-07-09,ODI # 4620,Max O'Dowd,Right hand Bat,Opening Batter
24,-,21,2,1,114.28,8,1,1,v Scotland,Rotterdam,2021-05-19,ODI # 4288,Logan van Beek,Right hand Bat,Bowler
10,29,21,1,0,47.61,6,1,1,v Scotland,Rotterdam,2021-05-20,ODI # 4289,Logan van Beek,Right hand Bat,Bowler
29,83,48,2,0,60.41,8,1,1,v Ireland,Utrecht,2021-06-02,ODI # 4293,Logan van Beek,Right hand Bat,Bowler
22,68,36,3,0,61.11,8,0,1,v Ireland,Utrecht,2021-06-04,ODI # 4294,Logan van Beek,Right hand Bat,Bowler
4,2,3,1,0,133.33,8,0,2,v Ireland,Utrecht,2021-06-07,ODI # 4295,Logan van Beek,Right hand Bat,Bowler
14,18,14,1,1,100.00,8,1,1,v New Zealand,Mount Maunganui,2022-03-29,ODI # 4378,Logan van Beek,Right hand Bat,Bowler
7,17,15,1,0,46.66,8,1,2,v New Zealand,Hamilton,2022-04-02,ODI # 4381,Logan van Beek,Right hand Bat,Bowler
32,53,36,1,3,88.88,8,1,2,v New Zealand,Hamilton,2022-04-04,ODI # 4383,Logan van Beek,Right hand Bat,Bowler
11,-,13,1,0,84.61,8,1,1,v West Indies,Amstelveen,2022-05-31,ODI # 4392,Logan van Beek,Right hand Bat,Bowler
9,21,13,0,0,69.23,8,1,1,v West Indies,Amstelveen,2022-06-02,ODI # 4395,Logan van Beek,Right hand Bat,Bowler
15,24,14,0,0,107.14,7,1,2,v West Indies,Amstelveen,2022-06-04,ODI # 4398,Logan van Beek,Right hand Bat,Bowler
6,10,5,1,0,120.00,7,1,2,v England,Amstelveen,2022-06-17,ODI # 4413,Logan van Beek,Right hand Bat,Bowler
30,41,36,0,2,83.33,7,0,1,v England,Amstelveen,2022-06-19,ODI # 4414,Logan van Beek,Right hand Bat,Bowler
0,5,3,0,0,0.00,7,1,1,v England,Amstelveen,2022-06-22,ODI # 4417,Logan van Beek,Right hand Bat,Bowler
28,44,24,3,0,116.66,8,1,2,v Pakistan,Rotterdam,2022-08-16,ODI # 4448,Logan van Beek,Right hand Bat,Bowler
13,-,28,0,0,46.42,8,1,1,v Pakistan,Rotterdam,2022-08-18,ODI # 4452,Logan van Beek,Right hand Bat,Bowler
8,25,11,0,0,72.72,8,1,2,v Pakistan,Rotterdam,2022-08-21,ODI # 4455,Logan van Beek,Right hand Bat,Bowler
8,4,4,0,1,200.00,8,0,1,v Zimbabwe,Harare,2023-06-20,ODI # 4589,Logan van Beek,Right hand Bat,Bowler
12,38,25,0,0,48.00,7,0,2,v U.S.A.,Harare,2023-06-22,ODI # 4594,Logan van Beek,Right hand Bat,Bowler
28,25,14,3,1,200.00,8,1,2,v West Indies,Harare,2023-06-26,ODI # 4602,Logan van Beek,Right hand Bat,Bowler
0,2,4,0,0,0.00,8,1,2,v Sri Lanka,Bulawayo,2023-06-30,ODI # 4606,Logan van Beek,Right hand Bat,Bowler
6,10,4,1,0,150.00,7,0,1,v Oman,Harare,2023-07-03,ODI # 4611,Logan van Beek,Right hand Bat,Bowler
1,1,1,0,0,100.00,8,0,2,v Scotland,Bulawayo,2023-07-06,ODI # 4616,Logan van Beek,Right hand Bat,Bowler
20,55,24,1,0,83.33,8,0,2,v Sri Lanka,Harare,2023-07-09,ODI # 4620,Logan van Beek,Right hand Bat,Bowler
19,32,21,4,0,90.47,3,1,1,v New Zealand,Mount Maunganui,2022-03-29,ODI # 4378,Vikramjit Singh,Left hand Bat,Opening Batter
31,66,51,7,0,60.78,3,1,2,v New Zealand,Hamilton,2022-04-02,ODI # 4381,Vikramjit Singh,Left hand Bat,Opening Batter
25,54,47,1,1,53.19,3,1,2,v New Zealand,Hamilton,2022-04-04,ODI # 4383,Vikramjit Singh,Left hand Bat,Opening Batter
47,-,45,6,2,104.44,1,1,1,v West Indies,Amstelveen,2022-05-31,ODI # 4392,Vikramjit Singh,Left hand Bat,Opening Batter
46,97,58,5,1,79.31,1,1,1,v West Indies,Amstelveen,2022-06-02,ODI # 4395,Vikramjit Singh,Left hand Bat,Opening Batter
54,75,55,7,1,98.18,1,1,2,v West Indies,Amstelveen,2022-06-04,ODI # 4398,Vikramjit Singh,Left hand Bat,Opening Batter
13,13,14,1,0,92.85,1,1,2,v England,Amstelveen,2022-06-17,ODI # 4413,Vikramjit Singh,Left hand Bat,Opening Batter
10,18,20,1,0,50.0,1,1,1,v England,Amstelveen,2022-06-19,ODI # 4414,Vikramjit Singh,Left hand Bat,Opening Batter
6,21,13,1,0,46.15,1,1,1,v England,Amstelveen,2022-06-22,ODI # 4417,Vikramjit Singh,Left hand Bat,Opening Batter
65,138,98,5,0,66.32,1,1,2,v Pakistan,Rotterdam,2022-08-16,ODI # 4448,Vikramjit Singh,Left hand Bat,Opening Batter
1,-,3,0,0,33.33,1,1,1,v Pakistan,Rotterdam,2022-08-18,ODI # 4452,Vikramjit Singh,Left hand Bat,Opening Batter
50,126,85,7,0,58.82,1,1,2,v Pakistan,Rotterdam,2022-08-21,ODI # 4455,Vikramjit Singh,Left hand Bat,Opening Batter
8,21,21,1,0,38.09,1,1,2,v Zimbabwe,Harare,2023-03-21,ODI # 4543,Vikramjit Singh,Left hand Bat,Opening Batter
14,33,25,1,1,56.0,1,1,2,v Zimbabwe,Harare,2023-03-23,ODI # 4546,Vikramjit Singh,Left hand Bat,Opening Batter
27,68,49,3,0,55.1,1,1,1,v Zimbabwe,Harare,2023-03-25,ODI # 4549,Vikramjit Singh,Left hand Bat,Opening Batter
45,59,53,4,3,84.9,1,1,1,v South Africa,Benoni,2023-03-31,ODI # 4558,Vikramjit Singh,Left hand Bat,Opening Batter
21,17,18,5,0,116.66,1,1,2,v South Africa,Johannesburg,2023-04-02,ODI # 4563,Vikramjit Singh,Left hand Bat,Opening Batter
88,158,111,9,0,79.27,1,1,1,v Zimbabwe,Harare,2023-06-20,ODI # 4589,Vikramjit Singh,Left hand Bat,Opening Batter
8,14,11,1,0,72.72,1,1,2,v U.S.A.,Harare,2023-06-22,ODI # 4594,Vikramjit Singh,Left hand Bat,Opening Batter
30,48,43,3,1,69.76,2,1,2,v Nepal,Harare,2023-06-24,ODI # 4598,Vikramjit Singh,Left hand Bat,Opening Batter
37,56,32,5,0,115.62,1,1,2,v West Indies,Harare,2023-06-26,ODI # 4602,Vikramjit Singh,Left hand Bat,Opening Batter
0,1,2,0,0,0.0,1,1,2,v Sri Lanka,Bulawayo,2023-06-30,ODI # 4606,Vikramjit Singh,Left hand Bat,Opening Batter
110,136,109,11,2,100.91,1,1,1,v Oman,Harare,2023-07-03,ODI # 4611,Vikramjit Singh,Left hand Bat,Opening Batter
40,65,49,6,0,81.63,1,1,2,v Scotland,Bulawayo,2023-07-06,ODI # 4616,Vikramjit Singh,Left hand Bat,Opening Batter
13,20,14,3,0,92.85,1,1,2,v Sri Lanka,Harare,2023-07-09,ODI # 4620,Vikramjit Singh,Left hand Bat,Opening Batter
8,-,9,0,0,88.88,9,0,1,v Scotland,Rotterdam,2021-05-19,ODI # 4288,Aryan Dutt,Right hand Bat,Bowler
