Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter,Batting Style,Playing Role
31.0,26,20.0,5,0,155.00,5,0,2,v Sri Lanka,Colombo (RPS),2021-07-18,ODI # 4307,Suryakumar Yadav,Right hand Bat,Batter
53.0,78,44.0,6,0,120.45,5,1,2,v Sri Lanka,Colombo (RPS),2021-07-20,ODI # 4309,Suryakumar Yadav,Right hand Bat,Batter
40.0,63,37.0,7,0,108.10,5,1,1,v Sri Lanka,Colombo (RPS),2021-07-23,ODI # 4312,Suryakumar Yadav,Right hand Bat,Batter
39.0,42,32.0,4,1,121.87,6,1,2,v South Africa,Cape Town,2022-01-23,ODI # 4349,Suryakumar Yadav,Right hand Bat,Batter
34.0,47,36.0,5,0,94.44,5,0,2,v West Indies,Narendra Modi Stadium,2022-02-06,ODI # 4353,Suryakumar Yadav,Right hand Bat,Batter
64.0,118,83.0,5,0,77.10,5,1,1,v West Indies,Narendra Modi Stadium,2022-02-09,ODI # 4355,Suryakumar Yadav,Right hand Bat,Batter
6.0,13,7.0,1,0,85.71,6,1,1,v West Indies,Narendra Modi Stadium,2022-02-11,ODI # 4356,Suryakumar Yadav,Right hand Bat,Batter
27.0,45,29.0,1,1,93.10,5,1,2,v England,Lord's,2022-07-14,ODI # 4428,Suryakumar Yadav,Right hand Bat,Batter
16.0,34,28.0,1,0,57.14,5,1,2,v England,Emirates Old Trafford,2022-07-17,ODI # 4433,Suryakumar Yadav,Right hand Bat,Batter
13.0,22,14.0,2,0,92.85,4,1,1,v West Indies,Port of Spain,2022-07-22,ODI # 4436,Suryakumar Yadav,Right hand Bat,Batter
9.0,10,8.0,0,1,112.50,4,1,2,v West Indies,Port of Spain,2022-07-24,ODI # 4438,Suryakumar Yadav,Right hand Bat,Batter
8.0,9,6.0,1,0,133.33,4,1,1,v West Indies,Port of Spain,2022-07-27,ODI # 4439,Suryakumar Yadav,Right hand Bat,Batter
4.0,2,3.0,1,0,133.33,5,1,1,v New Zealand,Auckland,2022-11-25,ODI # 4483,Suryakumar Yadav,Right hand Bat,Batter
34.0,-,25.0,2,3,136.00,3,0,1,v New Zealand,Hamilton,2022-11-27,ODI # 4487,Suryakumar Yadav,Right hand Bat,Batter
6.0,17,10.0,0,0,60.00,5,1,1,v New Zealand,Christchurch,2022-11-30,ODI # 4489,Suryakumar Yadav,Right hand Bat,Batter
4.0,6,4.0,0,0,100.00,6,1,1,v Sri Lanka,Thiruvananthapuram,2023-01-15,ODI # 4505,Suryakumar Yadav,Right hand Bat,Batter
31.0,39,26.0,4,0,119.23,5,1,1,v New Zealand,Rajiv Gandhi International Cricket Stadium,2023-01-18,ODI # 4507,Suryakumar Yadav,Right hand Bat,Batter
14.0,19,9.0,0,2,155.55,5,1,1,v New Zealand,Indore,2023-01-24,ODI # 4511,Suryakumar Yadav,Right hand Bat,Batter
0.0,3,1.0,0,0,0.00,4,1,2,v Australia,Wankhede,2023-03-17,ODI # 4538,Suryakumar Yadav,Right hand Bat,Batter
0.0,1,1.0,0,0,0.00,4,1,1,v Australia,Visakhapatnam,2023-03-19,ODI # 4541,Suryakumar Yadav,Right hand Bat,Batter
0.0,2,1.0,0,0,0.00,7,1,2,v Australia,MA Chidambaram Stadium,2023-03-22,ODI # 4545,Suryakumar Yadav,Right hand Bat,Batter
19.0,30,25.0,3,1,76.00,3,1,2,v West Indies,Bridgetown,2023-07-27,ODI # 4622,Suryakumar Yadav,Right hand Bat,Batter
24.0,37,25.0,3,0,96.00,6,1,1,v West Indies,Bridgetown,2023-07-29,ODI # 4623,Suryakumar Yadav,Right hand Bat,Batter
35.0,43,30.0,2,2,116.66,6,1,1,v West Indies,Tarouba,2023-08-01,ODI # 4624,Suryakumar Yadav,Right hand Bat,Batter
0.0,6,4.0,0,0,0.00,11,0,1,v New Zealand,Christchurch,2022-11-30,ODI # 4489,Umran Malik,Right hand Bat,Bowler
0.0,6,0.0,0,0,-,11,0,2,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,Umran Malik,Right hand Bat,Bowler
2.0,7,5.0,0,0,40.00,10,0,1,v New Zealand,Indore,2023-01-24,ODI # 4511,Umran Malik,Right hand Bat,Bowler
0.0,1,2.0,0,0,0.00,10,1,1,v West Indies,Bridgetown,2023-07-29,ODI # 4623,Umran Malik,Right hand Bat,Bowler
22.0,21,13.0,0,2,169.23,9,0,1,v England,Headingley,2018-07-17,ODI # 4018,Shardul Thakur,Right hand Bat,Bowler
0.0,-,3.0,0,0,0.00,8,1,1,v Hong Kong,Dubai (DSC),2018-09-18,ODI # 4039,Shardul Thakur,Right hand Bat,Bowler
17.0,-,6.0,2,1,283.33,8,0,2,v West Indies,Cuttack,2019-12-22,ODI # 4223,Shardul Thakur,Right hand Bat,Bowler
13.0,-,10.0,2,0,130.00,8,1,1,v Australia,Wankhede,2020-01-14,ODI # 4231,Shardul Thakur,Right hand Bat,Bowler
